"ASIN","Title","Price","Rating","Image","Ad_Type"
"B0GSZW682H","HP Smartchoice HyperX OMEN 15, AMD Ryzen 7 260, 8GB-RTX 5050, 24GB DDR5 (Upgradeable), 1TB SSD, 180Hz, 2.5K, 500 nits, 3ms RT, 15.3''/38.9cm, Win11, Office24, Black, 2.42kg, gb0038AX, AI Gaming Laptop","₹1,40,990","3.8","https://m.media-amazon.com/images/I/71OkT5tIRlL._AC_UY218_.jpg","Organic"
"B0GR16T68F","Apple 2026 MacBook Pro Laptop with M5 Pro chip with 15‑core CPU and 16‑core GPU: Built for AI, 35.97 cm (14.2″) Liquid Retina XDR Display, 24GB Unified Memory, 1TB SSD Storage; Space Black","₹2,34,900","5.0","https://m.media-amazon.com/images/I/61+jOMbYhYL._AC_UY218_.jpg","Organic"
"B0CWTYGPH8","acer Aspire Lite, AMD Ryzen 3 5300U Processor, 16 GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Metal Body, Premium Thin and Light Laptop","₹46,990","4.0","https://m.media-amazon.com/images/I/513p8BwV-RL._AC_UY218_.jpg","Organic"
"B0FVJ812DF","DELL 15 (2025) Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" HD Display/Smoky Black/1.5 kg/MSO 2021/1 Year ADP Warranty","₹51,105.22","5.0","https://m.media-amazon.com/images/I/61oaKQ0+uqL._AC_UY218_.jpg","Organic"
"B0GSZRGP46","HP 15 (2026), AMD Ryzen 5 Hexa Core 7535U - (8 GB DDR5/512 GB SSD/AMD Radeon 660M Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" FHD Display/Turbo Silver/Copilot Key/1.5kg/MS Office","₹47,760","5.0","https://m.media-amazon.com/images/I/71vF+WK+vrL._AC_UY218_.jpg","Organic"
"B0872G2MPV","Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11/MS Office,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty","₹41,999","3.9","https://m.media-amazon.com/images/I/51EuJs4AGpL._AC_UY218_.jpg","Organic"
"B0FDKS93JV","HP Smartchoice Victus, 13th Gen i7-13620H, 6GB RTX 4050, 16GB DDR4(Upgradeable) 512GB SSD, 144Hz, 300nits, FHD, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.3kg, fa2100/03/04tx, Gaming Laptop","₹99,990","4.2","https://m.media-amazon.com/images/I/7136hMkIEBL._AC_UY218_.jpg","Organic"
"B0CM6GVR56","acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/16 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg","₹46,990","4.1","https://m.media-amazon.com/images/I/71JEGsayyGL._AC_UY218_.jpg","Organic"
"B0GWHFBV9M","Dell 15 AI Powered Laptop, Intel Core Ultra 5 225H, 8GB DDR5 RAM, 512GB SSD, 15.6"" FHD Anti-Glare Display, Intel Arc Graphics, Standard Keyboard, Dedicated Copilot Key, Black, Win11 Home + MSO H&S'24","₹68,990","N/A","https://m.media-amazon.com/images/I/819pmP+hRiL._AC_UY218_.jpg","Ad"
"B0DZJ262NX","Lenovo ThinkBook 16, AMD Ryzen 5 7535HS, 16GB RAM, 512GB SSD, WUXGA IPS 16"", Windows 11 Home, Office 2024, 1.7kg, 21MWA0BSIN, Backlit Keyboard, Fingerprint, 300 Nits, 1Y Warranty, Aluminium Top Laptop","₹61,377","4.1","https://m.media-amazon.com/images/I/51+50luRJkL._AC_UY218_.jpg","Ad"
"B0FFB6ZZ7F","Lenovo IdeaPad Slim 5, AMD Ryzen 5 7535HS, 16GB RAM, 512GB SSD, WUXGA IPS, 13.3""/33.7cm, Windows 11, Microsoft 365 Basic + Office 2024, Grey, 1.6Kg, Backlit KB, 1Yr ADP Free, 83J2004HIN, Laptop","₹72,990","4.0","https://m.media-amazon.com/images/I/61g+cXN-sVL._AC_UY218_.jpg","Organic"
"B0FY33Z1YB","Lenovo Legion 5 2025 AMD Ryzen 7 260 | NVIDIA RTX 5060 8GB (16GB RAM/1TB SSD/WUXGA IPS/165Hz/15(39.6cm)/Windows 11/Office 2024+AI Now/Black/2.5Kg), 83M00074IN AI Powered Gaming Laptop","₹1,61,500","3.1","https://m.media-amazon.com/images/I/81bFm8boj5L._AC_UY218_.jpg","Organic"
"B0GWHGS8P5","Dell 15 AI Powered Laptop, Intel Core Ultra 5 225H, 16GB DDR5 RAM, 512GB SSD, 15.6"" FHD Anti-Glare Display, Intel Arc Graphics, Dedicated Copilot Key, Backlit Keyboard, Silver, Win11 Home + MSO H&S'24","₹80,490","N/A","https://m.media-amazon.com/images/I/61Hnx-dNRjL._AC_UY218_.jpg","Organic"
"B0FB98PMHL","ASUS Gaming V16, Intel Core 7 240H (14th Gen), RTX 5060-8GB,16GB RAM,512GB SSD,FHD+,16"",144Hz,Backlit Keyboard,Windows 11,M365 Basic (1Y),Office 2024,Matte Black,1.95 Kg,V3607VM-RP057WS, Gaming Laptop","₹1,19,990","3.5","https://m.media-amazon.com/images/I/71Du1Y52b9L._AC_UY218_.jpg","Organic"
"B0H1JFZSRV","𝗗𝗲𝗹𝗹Laptop Model 5420 | 𝗜𝗡𝗧𝗘𝗟i5 11th Gen Processor |8GB DDR4 RAM |256GB SSD |14"" FHD Display | Win10 | A+ Condition Laptop (Refab)","₹29,900","1.0","https://m.media-amazon.com/images/I/51LHNjAjH9L._AC_UY218_.jpg","Organic"
"B0C3D8BZVQ","HP 15 Laptop, AMD Ryzen 5 7520U (16GB DDR5,512GB SSD) Win11,M365 Basic(1yr)*Office Home24, Anti-Glare,15.6''/39.6cm,FHD,Backlit KB,FHD Camera w/Privacy Shutter,Radeon Graphics, Silver,1.59kg FC0690AU","₹55,490","4.2","https://m.media-amazon.com/images/I/71-8y5gh4bL._AC_UY218_.jpg","Organic"
"B0GR1N96QP","Apple 2026 MacBook Air 13″ Laptop with M5 chip: AI and Apple Intelligence, 34.46 cm (13.6″) Liquid Retina Display, 16GB Unified Memory, 1TB SSD Storage, 12MP Center Stage Camera, Touch ID; Starlight","₹1,28,700","N/A","https://m.media-amazon.com/images/I/71OjWwgFuEL._AC_UY218_.jpg","Organic"
"B0H25K3QFJ","𝗗𝗲𝗹𝗹Laptop Model 3420 | 𝗜𝗡𝗧𝗘𝗟i5 11th Gen Processor |8GB DDR4 RAM |256GB SSD |14"" FHD Display | Win10 | A+ Condition Laptop (Refab)","₹30,500","N/A","https://m.media-amazon.com/images/I/31q2-8TNSZL._AC_UY218_.jpg","Organic"
"B0GR68779Y","Apple 2026 MacBook Neo 13″ Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Citrus","₹65,700","4.7","https://m.media-amazon.com/images/I/61N2I4e0PNL._AC_UY218_.jpg","Ad"
"B0GRHW1V6B","Lenovo ThinkBook 14, AMD Ryzen 5 220, 16GB RAM, 1TB SSD, WUXGA IPS 14” (35.56cm), Windows 11 Home, Arctic Grey, 1.36Kg, 21V0A01SIG, Fingerprint, Backlit, 400 Nits, 1Y Warranty, Laptop","₹77,990","5.0","https://m.media-amazon.com/images/I/61JXT1qggjL._AC_UY218_.jpg","Ad"
